name,type_id,1st,2nd,3rd,4th,5th
奥卡托级印塔基涂装,36391,舰船涂装,运载舰和工业舰,高级运载舰,运输舰,盖伦特
万王宝座级海军型印塔基涂装,36392,舰船涂装,战列舰,势力战列舰,海军势力,
联邦海军彗星级印塔基涂装,36393,舰船涂装,护卫舰,势力护卫舰,海军势力,
狂怒者级海军型印塔基涂装,36394,舰船涂装,巡洋舰,势力巡洋舰,海军势力,
莫洛级印塔基涂装,36395,舰船涂装,旗舰,无畏舰,标准无畏舰,盖伦特
方尖塔级印塔基涂装,36396,舰船涂装,旗舰,货舰,盖伦特,
罪恶级印塔基涂装,36397,舰船涂装,战列舰,高级战列舰,黑隐特勤舰,盖伦特
曙光女神级印塔基涂装,36398,舰船涂装,战列巡洋舰,高级战列巡洋舰,指挥舰,盖伦特
厄里斯级印塔基涂装,36399,舰船涂装,驱逐舰,高级驱逐舰,拦截舰,盖伦特
阿施塔特级印塔基涂装,36400,舰船涂装,战列巡洋舰,高级战列巡洋舰,指挥舰,盖伦特
绝念级印塔基涂装,36401,舰船涂装,旗舰,航空母舰,标准航空母舰,盖伦特
夜神级印塔基涂装,36402,舰船涂装,旗舰,航空母舰,标准航空母舰,盖伦特
亥伯龙神级印塔基涂装,36403,舰船涂装,战列舰,标准战列舰,盖伦特,
克洛诺斯级印塔基涂装,36404,舰船涂装,战列舰,高级战列舰,掠夺舰,盖伦特
安莎尔级印塔基涂装,36405,舰船涂装,旗舰,战略货舰,盖伦特,
送葬者级海军型印塔基涂装,36406,舰船涂装,巡洋舰,势力巡洋舰,海军势力,
多米尼克斯级海军型印塔基涂装,36407,舰船涂装,战列舰,势力战列舰,海军势力,
布鲁提克斯级海军型印塔基涂装,36408,舰船涂装,战列巡洋舰,势力战列巡洋舰,海军势力,
裂谷级司法局涂装,36411,舰船涂装,护卫舰,标准护卫舰,米玛塔尔,
猎豹级司法局涂装,36424,舰船涂装,护卫舰,高级护卫舰,隐形特勤舰,米玛塔尔
利爪级司法局涂装,36425,舰船涂装,护卫舰,高级护卫舰,截击舰,米玛塔尔
短剑级司法局涂装,36426,舰船涂装,护卫舰,高级护卫舰,截击舰,米玛塔尔
猎狼级司法局涂装,36427,舰船涂装,护卫舰,高级护卫舰,突击护卫舰,米玛塔尔
土狼级司法局涂装,36428,舰船涂装,护卫舰,高级护卫舰,电子攻击护卫舰,米玛塔尔
美洲虎级司法局涂装,36429,舰船涂装,护卫舰,高级护卫舰,突击护卫舰,米玛塔尔
休津级司法局涂装,36430,舰船涂装,巡洋舰,高级巡洋舰,侦察舰,米玛塔尔
长剑级司法局涂装,36431,舰船涂装,巡洋舰,高级巡洋舰,侦察舰,米玛塔尔
曲剑级司法局涂装,36432,舰船涂装,巡洋舰,高级巡洋舰,后勤舰,米玛塔尔
流浪级司法局涂装,36433,舰船涂装,巡洋舰,高级巡洋舰,重型突击巡洋舰,米玛塔尔
阔刀级司法局涂装,36434,舰船涂装,巡洋舰,高级巡洋舰,重型拦截巡洋舰,米玛塔尔
缪宁级司法局涂装,36435,舰船涂装,巡洋舰,高级巡洋舰,重型突击巡洋舰,米玛塔尔
猎犬级司法局涂装,36436,舰船涂装,护卫舰,高级护卫舰,隐形特勤舰,米玛塔尔
徘徊者级司法局涂装,36437,舰船涂装,运载舰和工业舰,高级运载舰,运输舰,米玛塔尔
巨象级司法局涂装,36438,舰船涂装,运载舰和工业舰,高级运载舰,运输舰,米玛塔尔
刺客级舰队型司法局涂装,36441,舰船涂装,巡洋舰,势力巡洋舰,海军势力,
共和舰队火尾鸡级司法局涂装,36443,舰船涂装,护卫舰,势力护卫舰,海军势力,
芬利厄级司法局涂装,36444,舰船涂装,旗舰,货舰,米玛塔尔,
黑豹级司法局涂装,36445,舰船涂装,战列舰,高级战列舰,黑隐特勤舰,米玛塔尔
斯雷普尼级司法局涂装,36446,舰船涂装,战列巡洋舰,高级战列巡洋舰,指挥舰,米玛塔尔
剑齿虎级司法局涂装,36447,舰船涂装,驱逐舰,高级驱逐舰,拦截舰,米玛塔尔
月刃级司法局涂装,36448,舰船涂装,战列巡洋舰,高级战列巡洋舰,指挥舰,米玛塔尔
冥府级司法局涂装,36449,舰船涂装,旗舰,航空母舰,标准航空母舰,米玛塔尔
拉格纳洛克级司法局涂装,36450,舰船涂装,旗舰,泰坦,标准泰坦,米玛塔尔
尼铎格尔级司法局涂装,36451,舰船涂装,旗舰,航空母舰,标准航空母舰,米玛塔尔
游牧者级司法局涂装,36454,舰船涂装,旗舰,战略货舰,米玛塔尔,
镰刀级舰队型司法局涂装,36455,舰船涂装,巡洋舰,势力巡洋舰,海军势力,
台风级舰队型司法局涂装,36456,舰船涂装,战列舰,势力战列舰,海军势力,
暴风级舰队型司法局涂装,36458,舰船涂装,战列巡洋舰,势力战列巡洋舰,海军势力,
男式'火神'衬衫(蓝色),36480,服饰,男装,上装,,
男式'火神'衬衫(白/红),36481,服饰,男装,上装,,
男式'火神'衬衫(沙漠色),36482,服饰,男装,上装,,
男式'火神'衬衫(青色),36483,服饰,男装,上装,,
男式'火神'衬衫(绿色),36484,服饰,男装,上装,,
男式'火神'衬衫(灰/橙),36485,服饰,男装,上装,,
女式'火神'衬衫(蓝色),36486,服饰,女装,上装,,
女式'火神'衬衫(白/红),36487,服饰,女装,上装,,
女式'火神'衬衫(沙漠色),36488,服饰,女装,上装,,
女式'火神'衬衫(青色),36489,服饰,女装,上装,,
女式'火神'衬衫(绿色),36490,服饰,女装,上装,,
女式'火神'衬衫(灰/橙),36491,服饰,女装,上装,,
男式'火神'长裤(蓝色),36493,服饰,男装,下装,,
男式'火神'长裤(白/红),36494,服饰,男装,下装,,
男式'火神'长裤(沙漠色),36495,服饰,男装,下装,,
男式'火神'长裤(青色),36496,服饰,男装,下装,,
男式'火神'长裤(绿色),36497,服饰,男装,下装,,
男式'火神'长裤(灰/橙),36498,服饰,男装,下装,,
女式'火神'长裤(蓝色),36499,服饰,女装,下装,,
女式'火神'长裤(白/红),36500,服饰,女装,下装,,
女式'火神'长裤(沙漠色),36501,服饰,女装,下装,,
女式'火神'长裤(青色),36502,服饰,女装,下装,,
女式'火神'长裤(绿色),36503,服饰,女装,下装,,
女式'火神'长裤(灰/橙),36504,服饰,女装,下装,,
男式'火神'便鞋(蓝色),36505,服饰,男装,鞋靴,,
男式'火神'便鞋(白/红),36506,服饰,男装,鞋靴,,
男式'火神'便鞋(沙漠色),36507,服饰,男装,鞋靴,,
男式'火神'便鞋(青色),36508,服饰,男装,鞋靴,,
男式'火神'便鞋(绿色),36509,服饰,男装,鞋靴,,
男式'火神'便鞋(灰/橙),36510,服饰,男装,鞋靴,,
女式'火神'便鞋(蓝色),36511,服饰,女装,鞋靴,,
女式'火神'便鞋(白/红),36512,服饰,女装,鞋靴,,
女式'火神'便鞋(沙漠色),36513,服饰,女装,鞋靴,,
女式'火神'便鞋(青色),36514,服饰,女装,鞋靴,,
女式'火神'便鞋(绿色),36515,服饰,女装,鞋靴,,
女式'火神'便鞋(灰/橙),36516,服饰,女装,鞋靴,,
夜神级暗影涂装,36522,舰船涂装,旗舰,航空母舰,标准航空母舰,盖伦特
矮脚鸡级拉塔日落涂装,36633,舰船涂装,护卫舰,标准护卫舰,加达里,
秃鹫级拉塔日落涂装,36634,舰船涂装,护卫舰,标准护卫舰,加达里,
狮鹫级拉塔日落涂装,36635,舰船涂装,护卫舰,标准护卫舰,加达里,
苍鹭级拉塔日落涂装,36636,舰船涂装,护卫舰,标准护卫舰,加达里,
茶隼级拉塔日落涂装,36637,舰船涂装,护卫舰,标准护卫舰,加达里,
小鹰级拉塔日落涂装,36638,舰船涂装,护卫舰,标准护卫舰,加达里,
女妖级拉塔日落涂装,36639,舰船涂装,护卫舰,高级护卫舰,突击护卫舰,加达里
战鹰级拉塔日落涂装,36640,舰船涂装,护卫舰,高级护卫舰,突击护卫舰,加达里
秃鹰级拉塔日落涂装,36641,舰船涂装,护卫舰,高级护卫舰,隐形特勤舰,加达里
蝎尾怪级拉塔日落涂装,36642,舰船涂装,护卫舰,高级护卫舰,隐形特勤舰,加达里
狐妖级拉塔日落涂装,36643,舰船涂装,护卫舰,高级护卫舰,电子攻击护卫舰,加达里
黑鸦级拉塔日落涂装,36644,舰船涂装,护卫舰,高级护卫舰,截击舰,加达里
猛禽级拉塔日落涂装,36645,舰船涂装,护卫舰,高级护卫舰,截击舰,加达里
渡鸦级拉塔日落涂装,36646,舰船涂装,驱逐舰,标准驱逐舰,加达里,
海燕级拉塔日落涂装,36647,舰船涂装,驱逐舰,标准驱逐舰,加达里,
飞燕级拉塔日落涂装,36648,舰船涂装,驱逐舰,高级驱逐舰,拦截舰,加达里
黑鸟级拉塔日落涂装,36649,舰船涂装,巡洋舰,标准巡洋舰,加达里,
狞獾级拉塔日落涂装,36650,舰船涂装,巡洋舰,标准巡洋舰,加达里,
巨鸟级拉塔日落涂装,36651,舰船涂装,巡洋舰,标准巡洋舰,加达里,
鱼鹰级拉塔日落涂装,36652,舰船涂装,巡洋舰,标准巡洋舰,加达里,
希尔博拉斯级拉塔日落涂装,36653,舰船涂装,巡洋舰,高级巡洋舰,重型突击巡洋舰,加达里
银鹰级拉塔日落涂装,36654,舰船涂装,巡洋舰,高级巡洋舰,重型突击巡洋舰,加达里
奥尼克斯级拉塔日落涂装,36655,舰船涂装,巡洋舰,高级巡洋舰,重型拦截巡洋舰,加达里
皇冠蜥级拉塔日落涂装,36656,舰船涂装,巡洋舰,高级巡洋舰,后勤舰,加达里
战隼级拉塔日落涂装,36657,舰船涂装,巡洋舰,高级巡洋舰,侦察舰,加达里
白嘴鸦级拉塔日落涂装,36658,舰船涂装,巡洋舰,高级巡洋舰,侦察舰,加达里
幼龙级拉塔日落涂装,36659,舰船涂装,战列巡洋舰,标准战列巡洋舰,加达里,
猛鲑级拉塔日落涂装,36660,舰船涂装,战列巡洋舰,标准战列巡洋舰,加达里,
娜迦级拉塔日落涂装,36661,舰船涂装,战列巡洋舰,标准战列巡洋舰,加达里,
夜鹰级拉塔日落涂装,36662,舰船涂装,战列巡洋舰,高级战列巡洋舰,指挥舰,加达里
兀鹫级拉塔日落涂装,36663,舰船涂装,战列巡洋舰,高级战列巡洋舰,指挥舰,加达里
乌鸦级拉塔日落涂装,36664,舰船涂装,战列舰,标准战列舰,加达里,
鹏鲲级拉塔日落涂装,36665,舰船涂装,战列舰,标准战列舰,加达里,
毒蝎级拉塔日落涂装,36666,舰船涂装,战列舰,标准战列舰,加达里,
寡妇级拉塔日落涂装,36667,舰船涂装,战列舰,高级战列舰,黑隐特勤舰,加达里
魔像级拉塔日落涂装,36668,舰船涂装,战列舰,高级战列舰,掠夺舰,加达里
凤凰级拉塔日落涂装,36669,舰船涂装,旗舰,无畏舰,标准无畏舰,加达里
奇美拉级拉塔日落涂装,36670,舰船涂装,旗舰,航空母舰,标准航空母舰,加达里
飞龙级拉塔日落涂装,36671,舰船涂装,旗舰,航空母舰,标准航空母舰,加达里
勒维亚坦级拉塔日落涂装,36672,舰船涂装,旗舰,泰坦,标准泰坦,加达里
獾级拉塔日落涂装,36673,舰船涂装,运载舰和工业舰,标准运载舰,加达里,
狐鼬级拉塔日落涂装,36674,舰船涂装,运载舰和工业舰,标准运载舰,加达里,
天鹤级拉塔日落涂装,36675,舰船涂装,运载舰和工业舰,高级运载舰,运输舰,加达里
大鸨级拉塔日落涂装,36676,舰船涂装,运载舰和工业舰,高级运载舰,运输舰,加达里
渡神级拉塔日落涂装,36677,舰船涂装,旗舰,货舰,加达里,
奥鸟级拉塔日落涂装,36678,舰船涂装,旗舰,战略货舰,加达里,
矮脚鸡级蓝虎涂装,36705,舰船涂装,护卫舰,标准护卫舰,加达里,
秃鹫级蓝虎涂装,36706,舰船涂装,护卫舰,标准护卫舰,加达里,
狮鹫级蓝虎涂装,36707,舰船涂装,护卫舰,标准护卫舰,加达里,
苍鹭级蓝虎涂装,36708,舰船涂装,护卫舰,标准护卫舰,加达里,
茶隼级蓝虎涂装,36709,舰船涂装,护卫舰,标准护卫舰,加达里,
小鹰级蓝虎涂装,36710,舰船涂装,护卫舰,标准护卫舰,加达里,
女妖级蓝虎涂装,36711,舰船涂装,护卫舰,高级护卫舰,突击护卫舰,加达里
战鹰级蓝虎涂装,36712,舰船涂装,护卫舰,高级护卫舰,突击护卫舰,加达里
秃鹰级蓝虎涂装,36713,舰船涂装,护卫舰,高级护卫舰,隐形特勤舰,加达里
蝎尾怪级蓝虎涂装,36714,舰船涂装,护卫舰,高级护卫舰,隐形特勤舰,加达里
狐妖级蓝虎涂装,36715,舰船涂装,护卫舰,高级护卫舰,电子攻击护卫舰,加达里
黑鸦级蓝虎涂装,36716,舰船涂装,护卫舰,高级护卫舰,截击舰,加达里
猛禽级蓝虎涂装,36717,舰船涂装,护卫舰,高级护卫舰,截击舰,加达里
渡鸦级蓝虎涂装,36718,舰船涂装,驱逐舰,标准驱逐舰,加达里,
海燕级蓝虎涂装,36719,舰船涂装,驱逐舰,标准驱逐舰,加达里,
飞燕级蓝虎涂装,36720,舰船涂装,驱逐舰,高级驱逐舰,拦截舰,加达里
黑鸟级蓝虎涂装,36721,舰船涂装,巡洋舰,标准巡洋舰,加达里,
狞獾级蓝虎涂装,36722,舰船涂装,巡洋舰,标准巡洋舰,加达里,
巨鸟级蓝虎涂装,36723,舰船涂装,巡洋舰,标准巡洋舰,加达里,
鱼鹰级蓝虎涂装,36724,舰船涂装,巡洋舰,标准巡洋舰,加达里,
希尔博拉斯级蓝虎涂装,36725,舰船涂装,巡洋舰,高级巡洋舰,重型突击巡洋舰,加达里
银鹰级蓝虎涂装,36726,舰船涂装,巡洋舰,高级巡洋舰,重型突击巡洋舰,加达里
奥尼克斯级蓝虎涂装,36727,舰船涂装,巡洋舰,高级巡洋舰,重型拦截巡洋舰,加达里
皇冠蜥级蓝虎涂装,36728,舰船涂装,巡洋舰,高级巡洋舰,后勤舰,加达里
战隼级蓝虎涂装,36729,舰船涂装,巡洋舰,高级巡洋舰,侦察舰,加达里
白嘴鸦级蓝虎涂装,36730,舰船涂装,巡洋舰,高级巡洋舰,侦察舰,加达里
幼龙级蓝虎涂装,36731,舰船涂装,战列巡洋舰,标准战列巡洋舰,加达里,
猛鲑级蓝虎涂装,36732,舰船涂装,战列巡洋舰,标准战列巡洋舰,加达里,
娜迦级蓝虎涂装,36733,舰船涂装,战列巡洋舰,标准战列巡洋舰,加达里,
夜鹰级蓝虎涂装,36734,舰船涂装,战列巡洋舰,高级战列巡洋舰,指挥舰,加达里
兀鹫级蓝虎涂装,36735,舰船涂装,战列巡洋舰,高级战列巡洋舰,指挥舰,加达里
乌鸦级蓝虎涂装,36736,舰船涂装,战列舰,标准战列舰,加达里,
鹏鲲级蓝虎涂装,36737,舰船涂装,战列舰,标准战列舰,加达里,
毒蝎级蓝虎涂装,36738,舰船涂装,战列舰,标准战列舰,加达里,
寡妇级蓝虎涂装,36739,舰船涂装,战列舰,高级战列舰,黑隐特勤舰,加达里
魔像级蓝虎涂装,36740,舰船涂装,战列舰,高级战列舰,掠夺舰,加达里
凤凰级蓝虎涂装,36741,舰船涂装,旗舰,无畏舰,标准无畏舰,加达里
奇美拉级蓝虎涂装,36742,舰船涂装,旗舰,航空母舰,标准航空母舰,加达里
飞龙级蓝虎涂装,36743,舰船涂装,旗舰,航空母舰,标准航空母舰,加达里
勒维亚坦级蓝虎涂装,36744,舰船涂装,旗舰,泰坦,标准泰坦,加达里
獾级蓝虎涂装,36745,舰船涂装,运载舰和工业舰,标准运载舰,加达里,
狐鼬级蓝虎涂装,36746,舰船涂装,运载舰和工业舰,标准运载舰,加达里,
天鹤级蓝虎涂装,36747,舰船涂装,运载舰和工业舰,高级运载舰,运输舰,加达里
大鸨级蓝虎涂装,36748,舰船涂装,运载舰和工业舰,高级运载舰,运输舰,加达里
渡神级蓝虎涂装,36749,舰船涂装,旗舰,货舰,加达里,
奥鸟级蓝虎涂装,36750,舰船涂装,旗舰,战略货舰,加达里,
分裂者级瓦基尔荣耀涂装,36751,舰船涂装,护卫舰,标准护卫舰,米玛塔尔,
爆发级瓦基尔荣耀涂装,36752,舰船涂装,护卫舰,标准护卫舰,米玛塔尔,
探索级瓦基尔荣耀涂装,36753,舰船涂装,护卫舰,标准护卫舰,米玛塔尔,
裂谷级瓦基尔荣耀涂装,36754,舰船涂装,护卫舰,标准护卫舰,米玛塔尔,
伐木者级瓦基尔荣耀涂装,36755,舰船涂装,护卫舰,标准护卫舰,米玛塔尔,
守夜者级瓦基尔荣耀涂装,36756,舰船涂装,护卫舰,标准护卫舰,米玛塔尔,
美洲虎级瓦基尔荣耀涂装,36757,舰船涂装,护卫舰,高级护卫舰,突击护卫舰,米玛塔尔
猎狼级瓦基尔荣耀涂装,36758,舰船涂装,护卫舰,高级护卫舰,突击护卫舰,米玛塔尔
猎豹级瓦基尔荣耀涂装,36759,舰船涂装,护卫舰,高级护卫舰,隐形特勤舰,米玛塔尔
猎犬级瓦基尔荣耀涂装,36760,舰船涂装,护卫舰,高级护卫舰,隐形特勤舰,米玛塔尔
土狼级瓦基尔荣耀涂装,36761,舰船涂装,护卫舰,高级护卫舰,电子攻击护卫舰,米玛塔尔
利爪级瓦基尔荣耀涂装,36762,舰船涂装,护卫舰,高级护卫舰,截击舰,米玛塔尔
短剑级瓦基尔荣耀涂装,36763,舰船涂装,护卫舰,高级护卫舰,截击舰,米玛塔尔
弯刀级瓦基尔荣耀涂装,36764,舰船涂装,驱逐舰,标准驱逐舰,米玛塔尔,
长尾鲛级瓦基尔荣耀涂装,36765,舰船涂装,驱逐舰,标准驱逐舰,米玛塔尔,
剑齿虎级瓦基尔荣耀涂装,36766,舰船涂装,驱逐舰,高级驱逐舰,拦截舰,米玛塔尔
挑战级瓦基尔荣耀涂装,36767,舰船涂装,巡洋舰,标准巡洋舰,米玛塔尔,
断崖级瓦基尔荣耀涂装,36768,舰船涂装,巡洋舰,标准巡洋舰,米玛塔尔,
镰刀级瓦基尔荣耀涂装,36769,舰船涂装,巡洋舰,标准巡洋舰,米玛塔尔,
刺客级瓦基尔荣耀涂装,36770,舰船涂装,巡洋舰,标准巡洋舰,米玛塔尔,
缪宁级瓦基尔荣耀涂装,36771,舰船涂装,巡洋舰,高级巡洋舰,重型突击巡洋舰,米玛塔尔
流浪级瓦基尔荣耀涂装,36772,舰船涂装,巡洋舰,高级巡洋舰,重型突击巡洋舰,米玛塔尔
阔刀级瓦基尔荣耀涂装,36773,舰船涂装,巡洋舰,高级巡洋舰,重型拦截巡洋舰,米玛塔尔
曲剑级瓦基尔荣耀涂装,36774,舰船涂装,巡洋舰,高级巡洋舰,后勤舰,米玛塔尔
休津级瓦基尔荣耀涂装,36775,舰船涂装,巡洋舰,高级巡洋舰,侦察舰,米玛塔尔
长剑级瓦基尔荣耀涂装,36776,舰船涂装,巡洋舰,高级巡洋舰,侦察舰,米玛塔尔
飓风级瓦基尔荣耀涂装,36777,舰船涂装,战列巡洋舰,标准战列巡洋舰,米玛塔尔,
暴风级瓦基尔荣耀涂装,36778,舰船涂装,战列巡洋舰,标准战列巡洋舰,米玛塔尔,
龙卷风级瓦基尔荣耀涂装,36779,舰船涂装,战列巡洋舰,标准战列巡洋舰,米玛塔尔,
月刃级瓦基尔荣耀涂装,36780,舰船涂装,战列巡洋舰,高级战列巡洋舰,指挥舰,米玛塔尔
斯雷普尼级瓦基尔荣耀涂装,36781,舰船涂装,战列巡洋舰,高级战列巡洋舰,指挥舰,米玛塔尔
死亡漩涡级瓦基尔荣耀涂装,36782,舰船涂装,战列舰,标准战列舰,米玛塔尔,
狂暴级瓦基尔荣耀涂装,36783,舰船涂装,战列舰,标准战列舰,米玛塔尔,
台风级瓦基尔荣耀涂装,36784,舰船涂装,战列舰,标准战列舰,米玛塔尔,
黑豹级瓦基尔荣耀涂装,36785,舰船涂装,战列舰,高级战列舰,黑隐特勤舰,米玛塔尔
恶狼级瓦基尔荣耀涂装,36786,舰船涂装,战列舰,高级战列舰,掠夺舰,米玛塔尔
纳迦法级瓦基尔荣耀涂装,36787,舰船涂装,旗舰,无畏舰,标准无畏舰,米玛塔尔
尼铎格尔级瓦基尔荣耀涂装,36788,舰船涂装,旗舰,航空母舰,标准航空母舰,米玛塔尔
冥府级瓦基尔荣耀涂装,36789,舰船涂装,旗舰,航空母舰,标准航空母舰,米玛塔尔
拉格纳洛克级瓦基尔荣耀涂装,36790,舰船涂装,旗舰,泰坦,标准泰坦,米玛塔尔
囤积者级瓦基尔荣耀涂装,36791,舰船涂装,运载舰和工业舰,标准运载舰,米玛塔尔,
猛犸级瓦基尔荣耀涂装,36792,舰船涂装,运载舰和工业舰,标准运载舰,米玛塔尔,
环绕级瓦基尔荣耀涂装,36793,舰船涂装,运载舰和工业舰,标准运载舰,米玛塔尔,
徘徊者级瓦基尔荣耀涂装,36794,舰船涂装,运载舰和工业舰,高级运载舰,运输舰,米玛塔尔
巨象级瓦基尔荣耀涂装,36795,舰船涂装,运载舰和工业舰,高级运载舰,运输舰,米玛塔尔
芬利厄级瓦基尔荣耀涂装,36796,舰船涂装,旗舰,货舰,米玛塔尔,
游牧者级瓦基尔荣耀涂装,36797,舰船涂装,旗舰,战略货舰,米玛塔尔,
分裂者级蓝虎涂装,36798,舰船涂装,护卫舰,标准护卫舰,米玛塔尔,
爆发级蓝虎涂装,36799,舰船涂装,护卫舰,标准护卫舰,米玛塔尔,
探索级蓝虎涂装,36800,舰船涂装,护卫舰,标准护卫舰,米玛塔尔,
裂谷者级蓝虎涂装,36801,舰船涂装,护卫舰,标准护卫舰,米玛塔尔,
伐木者级蓝虎涂装,36802,舰船涂装,护卫舰,标准护卫舰,米玛塔尔,
守夜者级蓝虎涂装,36803,舰船涂装,护卫舰,标准护卫舰,米玛塔尔,
美洲虎级蓝虎涂装,36804,舰船涂装,护卫舰,高级护卫舰,突击护卫舰,米玛塔尔
猎狼级蓝虎涂装,36805,舰船涂装,护卫舰,高级护卫舰,突击护卫舰,米玛塔尔
猎豹级蓝虎涂装,36806,舰船涂装,护卫舰,高级护卫舰,隐形特勤舰,米玛塔尔
猎犬级蓝虎涂装,36807,舰船涂装,护卫舰,高级护卫舰,隐形特勤舰,米玛塔尔
土狼级蓝虎涂装,36808,舰船涂装,护卫舰,高级护卫舰,电子攻击护卫舰,米玛塔尔
利爪级蓝虎涂装,36809,舰船涂装,护卫舰,高级护卫舰,截击舰,米玛塔尔
短剑级蓝虎涂装,36810,舰船涂装,护卫舰,高级护卫舰,截击舰,米玛塔尔
弯刀级蓝虎涂装,36811,舰船涂装,驱逐舰,标准驱逐舰,米玛塔尔,
长尾鲛级蓝虎涂装,36812,舰船涂装,驱逐舰,标准驱逐舰,米玛塔尔,
剑齿虎级蓝虎涂装,36813,舰船涂装,驱逐舰,高级驱逐舰,拦截舰,米玛塔尔
挑战级蓝虎涂装,36814,舰船涂装,巡洋舰,标准巡洋舰,米玛塔尔,
断崖级蓝虎涂装,36815,舰船涂装,巡洋舰,标准巡洋舰,米玛塔尔,
镰刀级蓝虎涂装,36816,舰船涂装,巡洋舰,标准巡洋舰,米玛塔尔,
刺客级蓝虎涂装,36817,舰船涂装,巡洋舰,标准巡洋舰,米玛塔尔,
缪宁级蓝虎涂装,36818,舰船涂装,巡洋舰,高级巡洋舰,重型突击巡洋舰,米玛塔尔
流浪级蓝虎涂装,36819,舰船涂装,巡洋舰,高级巡洋舰,重型突击巡洋舰,米玛塔尔
阔刀级蓝虎涂装,36820,舰船涂装,巡洋舰,高级巡洋舰,重型拦截巡洋舰,米玛塔尔
曲剑级蓝虎涂装,36821,舰船涂装,巡洋舰,高级巡洋舰,后勤舰,米玛塔尔
休津级蓝虎涂装,36822,舰船涂装,巡洋舰,高级巡洋舰,侦察舰,米玛塔尔
长剑级蓝虎涂装,36823,舰船涂装,巡洋舰,高级巡洋舰,侦察舰,米玛塔尔
飓风级蓝虎涂装,36824,舰船涂装,战列巡洋舰,标准战列巡洋舰,米玛塔尔,
暴风级蓝虎涂装,36825,舰船涂装,战列巡洋舰,标准战列巡洋舰,米玛塔尔,
龙卷风级蓝虎涂装,36826,舰船涂装,战列巡洋舰,标准战列巡洋舰,米玛塔尔,
月刃级蓝虎涂装,36827,舰船涂装,战列巡洋舰,高级战列巡洋舰,指挥舰,米玛塔尔
斯雷普尼级蓝虎涂装,36828,舰船涂装,战列巡洋舰,高级战列巡洋舰,指挥舰,米玛塔尔
死亡漩涡级蓝虎涂装,36829,舰船涂装,战列舰,标准战列舰,米玛塔尔,
狂暴级蓝虎涂装,36830,舰船涂装,战列舰,标准战列舰,米玛塔尔,
台风级蓝虎涂装,36831,舰船涂装,战列舰,标准战列舰,米玛塔尔,
黑豹级蓝虎涂装,36832,舰船涂装,战列舰,高级战列舰,黑隐特勤舰,米玛塔尔
恶狼级蓝虎涂装,36833,舰船涂装,战列舰,高级战列舰,掠夺舰,米玛塔尔
纳迦法级蓝虎涂装,36834,舰船涂装,旗舰,无畏舰,标准无畏舰,米玛塔尔
尼铎格尔级蓝虎涂装,36835,舰船涂装,旗舰,航空母舰,标准航空母舰,米玛塔尔
冥府级蓝虎涂装,36836,舰船涂装,旗舰,航空母舰,标准航空母舰,米玛塔尔
拉格纳洛克级蓝虎涂装,36837,舰船涂装,旗舰,泰坦,标准泰坦,米玛塔尔
囤积者级蓝虎涂装,36838,舰船涂装,运载舰和工业舰,标准运载舰,米玛塔尔,
猛犸级蓝虎涂装,36839,舰船涂装,运载舰和工业舰,标准运载舰,米玛塔尔,
环绕级蓝虎涂装,36840,舰船涂装,运载舰和工业舰,标准运载舰,米玛塔尔,
徘徊者级蓝虎涂装,36841,舰船涂装,运载舰和工业舰,高级运载舰,运输舰,米玛塔尔
巨象级蓝虎涂装,36842,舰船涂装,运载舰和工业舰,高级运载舰,运输舰,米玛塔尔
芬利厄级蓝虎涂装,36843,舰船涂装,旗舰,货舰,米玛塔尔,
游牧者级蓝虎涂装,36844,舰船涂装,旗舰,战略货舰,米玛塔尔,
萨沙胜利涂装,36854,舰船涂装,多舰船通用涂装,特别版涂装,,
合并元素,36902,贸易货物,未知组件,,,
抗药的图里奥,36908,植入体和增效剂,增效剂,增效剂槽位 01,抗药,
抗药的科西波,36909,植入体和增效剂,增效剂,增效剂槽位 01,抗药,
抗药的爱奥尼亚,36910,植入体和增效剂,增效剂,增效剂槽位 02,抗药,
抗药的拖克索,36911,植入体和增效剂,增效剂,增效剂槽位 03,抗药,
抗药的伊奥利亚,36912,植入体和增效剂,增效剂,增效剂槽位 01,抗药,
地狱天使级血袭者涂装,36913,舰船涂装,战列舰,标准战列舰,艾玛,
刽子手级血袭者涂装,36914,舰船涂装,护卫舰,标准护卫舰,艾玛,
先驱者级血袭者涂装,36915,舰船涂装,战列巡洋舰,标准战列巡洋舰,艾玛,
启示级血袭者涂装,36916,舰船涂装,巡洋舰,标准巡洋舰,艾玛,
合并元素蓝图,36949,贸易货物,未知组件,,,
建筑磁力感应器蓝图,36953,蓝图和反应,制造和研究,组件,建筑组件,
建筑加速线圈蓝图,36954,蓝图和反应,制造和研究,组件,建筑组件,
建筑宣传节点蓝图,36955,蓝图和反应,制造和研究,组件,建筑组件,
建筑磁力感应器,36956,制造和研究,组件,建筑组件,,
建筑加速线圈,36957,制造和研究,组件,建筑组件,,
建筑宣传节点,36958,制造和研究,组件,建筑组件,,
明灯诱导信标蓝图,36960,蓝图和反应,建筑,导航建筑,,
安塞波跳跃星门蓝图,36961,蓝图和反应,建筑,导航建筑,,
空堡蓝图,36966,蓝图和反应,建筑,堡垒,,
铁壁蓝图,36967,蓝图和反应,建筑,堡垒,,
星城蓝图,36968,蓝图和反应,建筑,堡垒,,
